state,lgc,population,land_size_klm2,senatorial_district,Male,Female
Abia,Aba North,106844,22.956,C,53016,53828,
Abia,Aba South,427421,49.551,C,220541,206880,
Abia,Arochukwu,169339,529.308,A,85695,83644,
Abia,Bende,192621,607.54,A,95675,96946,
Abia,Ikwuano,137897,284.076,B,70509,67388,
Abia,Isiala-Ngwa North,154083,285.438,B,76261,77822,
Abia,Isiala-Ngwa South,136650,260.396,B,67205,69445,
Abia,Isiukwuato,115794,397.647,A,56660,59134,
Abia,Obi Ngwa,181894,398.508,C,89593,92301,
Abia,Ohafia,245987,442.709,A,124416,121571,
Abia,Osisioma Ngwa,220662,199.387,B,110790,109872,
Abia,Ugwunagbo,85371,108.689,C,42801,42570,
Abia,Ukwa East,58139,282.168,C,29410,28729,
Abia,Ukwa West,87367,272.702,C,44149,43218,
Abia,Umuahia North,223134,246.956,B,112595,110539,
Abia,Umuahia South,139058,141.711,B,68950,70108,
Abia,Umu-Nneochi,163119,372.496,A,82032,81087,
Abuja,Abaji,58642,1015.927,A,28860,29782,
Abuja,Abuja Municipal (Amac),776298,1813.333,A,415951,360347,
Abuja,Bwari,229274,938.744,A,115346,113928,
Abuja,Gwagwalada,158618,1069.589,A,80182,78436,
Abuja,Kuje,97233,1682.061,A,49420,47813,
Abuja,Kwali,86174,1234.199,A,43413,42761,
Adamawa,Demsa,178407,1868.82,B,89511,88896,
Adamawa,Fufore,209460,5078.136,C,105626,103834,
Adamawa,Ganye,169948,1922.898,B,85798,84150,
Adamawa,Girei,129855,1899.139,C,66906,62949,
Adamawa,Gombi,147787,1126.136,C,74399,73388,
Adamawa,Guyuk,176505,777.534,B,89440,87065,
Adamawa,Hong,169183,2697.61,C,83736,85447,
Adamawa,Jada,168445,2847.963,B,82882,85563,
Adamawa,Lamurde,111254,1200.469,B,56495,54759,
Adamawa,Madagali,135142,844.75,A,67134,68008,
Adamawa,Maiha,110175,1303.601,A,55622,54553,
Adamawa,Mayo-Belwa,152803,1806.453,B,75399,77404,
Adamawa,Michika,155238,994.208,A,75036,80202,
