Litre,,,,,,,,,Gallon,,,,,
,Average of Aug-21,Average of Jul-22,Average of Aug-22,MoM,YoY,,,,,Average of Aug-21,Average of Jul-22,Average of Aug-22,MoM,YoY
NORTH CENTRAL,419.46,761.92,753.05,-1.16,79.53,,,,NORTH CENTRAL,"1,377.64","2,924.73","3,019.15",3.23,119.15
Abuja,450.00,860.00,912.50,6.10,102.78,,,,Abuja,"1,400.00","3,600.00","4,050.00",12.50,189.29
Benue,420.83,654.76,664.29,1.45,57.85,,,,Benue,"1,275.00","2,700.00","2,566.67",-4.94,101.31
Kogi,406.54,695.83,701.67,0.84,72.59,,,,Kogi,"1,310.71","2,903.70","3,185.00",9.69,143.00
Kwara,449.17,690.59,720.00,4.26,60.30,,,,Kwara,"1,316.00","3,080.00","2,985.00",-3.08,126.82
Nasarawa,407.14,665.28,625.00,-6.05,53.51,,,,Nasarawa,"1,399.62","3,016.67","2,993.18",-0.78,113.86
Niger,380.30,873.61,908.33,3.97,138.84,,,,Niger,"1,185.00","2,572.73","2,616.67",1.71,120.82
Plateau,422.22,893.33,739.58,-17.21,75.16,,,,Plateau,"1,757.14","2,600.00","2,737.50",5.29,55.79
NORTH EAST,412.25,757.14,781.11,3.17,89.48,,,,NORTH EAST,"1,293.73","2,597.04","2,687.63",3.49,107.74
Adamawa,416.67,695.83,633.33,-8.98,52.00,,,,Adamawa,"1,375.00","2,620.00","2,615.79",-0.16,90.24
Bauchi,385.42,700.00,783.33,11.90,103.24,,,,Bauchi,"1,376.25","2,531.25","2,690.00",6.27,95.46
Borno,397.92,775.83,800.00,3.11,101.05,,,,Borno,"1,262.50","2,500.00","2,600.00",4.00,105.94
Gombe,447.92,742.86,810.00,9.04,80.84,,,,Gombe,"1,322.50","2,530.00","2,570.00",1.58,94.33
Taraba,477.08,795.00,800.00,0.63,67.69,,,,Taraba,"1,365.00","2,676.00","2,750.00",2.77,101.47
Yobe,348.48,833.33,860.00,3.20,146.78,,,,Yobe,"1,061.11","2,725.00","2,900.00",6.42,173.30
NORTH WEST,354.41,730.67,751.80,2.89,112.13,,,,NORTH WEST,"1,330.72","2,766.22","2,821.20",1.99,112.00
Jigawa,366.67,690.24,725.76,5.15,97.93,,,,Jigawa,"1,435.71","3,016.67","3,190.91",5.78,122.25
Kaduna,350.00,704.36,715.00,1.51,104.29,,,,Kaduna,"1,244.44","2,700.00","2,801.82",3.77,125.15
